"","modified_excerpt","dref_dimension"
"1","12% of those assisted and surveyed by VRCS reported being exposed to storm surge and had lost property and possessions during the cyclone as a result. Improving this situation cannot be achieved with technical solutions alone, as issues of land ownership and livelihoods would need to be considered concurrently. Supporting these communities living in coastal areas with early warning, early action awareness, together with advocacy and support for relocation where feasible, will be necessary.","Operational Capacity, Analysis and Planning"
"2","30 volunteers were trained on vector control, to use sprayers and protective gear to spray pesticides in the stagnant waters surrounding houses. Implementation of this operational element required an approval from local authorities, in addition to providing list of certified local pesticides. This process was not through until the vector presence decreased itself due to weather change (decrease of air temperature). Therefore, the spraying was cancelled.","Operational Capacity"
"3","33 HHs did not collect their cash assistance either because of resettlement, intractability, switched off/no coverage of mobile phones, data errors or relocation to mountains tops for survival of their livestock. PRCS volunteers tried their best for these people to collect and access the cash, however they were unable to because of the mentioned reasons. The cash amount will be returned to the DREF pot.","Operational Capacity, Policy Strategy and Standards"
"4","5 mobile pumps per community were not enough to irrigate the drought affected land regularly and one community out of 5 was not provided with pump as the quantity of mobile water pumps in stock of the DPRK RCS was only 20 at the initial stage of the operation. The DPRK RCS and IFRC CO, in order to cope with such situation, requested to procure 20 mobile pumps with the DREF allocation and provided the above-mentioned community with fuel to run the water pumps available in the community.","Operational Capacity"
"5","56 affected families did not receive support. Local leaders advised community members that to seek alternative
shelter solutions and not wait on RC only for help. (Shelter)","Operational Capacity"
"6","80% of women reported not needing disposable sanitary napkins","Policy Strategy and Standards"
"7","A  pre hurricane season meeting will be held in June. Discussion will be held to improve the coordination in the use of shelter kits in the future.","Analysis and Planning"
"8","A beneficiary satisfaction survey was conducted to collect the views of women and men, girls and boys on the support provided. A Lessons Learned workshop was conducted to review the implementation of the project and the resulting report was produced for future learning.","Operations Support"
"9","A combination of cash and in-kind assistance worked well in this context and can be used in the future as well. Capacity building of branch staff is essential in the current scenario, where technical personnel from NHQ are unable to travel to field because of COVID related travel restrictions","Operational Capacity"
"10","A delay in the transfer of funds from IFRC to CRCS occurred, due to delays in the banking system of the receiving Chadian bank. This caused a two-week delay for the to be received by the NS and partially impacted the start of activities. However, the implementation was completed as planned in the operation.","Operational Capacity"
