"Categories"	"Excerpt"	"Long"	"Set"
"1"	"00001000000000000000000000000000000000000"	"A close coordination among RCRC partners is important to conduct project activities and enhance performance even when the implementation encounters delay due to internal or external factors. The PDM reported that the quantity of NFIs should be increased for future operations."	1	"test"
"2"	"00000000000000001000000000000000000000000"	"A combination of cash and in-kind assistance worked well in this context and can be used in the future as well. Capacity building of branch staff is essential in the current scenario, where technical personnel from NHQ are unable to travel to field because of COVID-19 related travel restrictions."	1	"test"
"3"	"00000000000000000000000000000100000000000"	"A delay was encountered in conducting the security assessment, mostly due to the difficulty in finding a suitable candidate ready for immediate deployment"	1	"test"
"4"	"00000000000000001000000000000000000000000"	"A fixed amount for beneficiary travel to FSP outlets or easy paisa shops, should be included in the beneficiary cash payment amount, with an understanding with the FSP."	1	"test"
"5"	"00000000010000000000000000000000000000000"	"A growing lack of interest in Lassa Fever awareness by the target population as a result of Corona Virus pandemic."	1	"test"
"6"	"00000000000000000000000000000000000000100"	"A number of experienced volunteers were not involved in the response operation. This was due to them not being contacted by TRCS, and/or due to their contact information not being up to date. This meant that volunteers with little or no experience were required to do most of the work."	1	"test"
"7"	"00000000000000000000000001000000000000000"	"A participatory coordination among partners including RCRC and external ones is necessary to conduct project activities. The beneficiaries need support to handle their phones to receive their cash disbursements in due time."	1	"test"
"8"	"00000000000000000000000010000000000000000"	"A post distribution monitoring for NFIs (including Health items) was conducted, in which 99 per cent were satisfied with the items they received, including the mosquito nets and found them useful. The good practice for the chapter needs to prioritize building a strong partnership with hospitals and other private medical agencies through good communication to involve them with the Red Cross activities. This partnership gives an opportunity for the chapter to be able to mobilize manpower for mobile health clinics and other health activities. To continue to support chapters with capacity development and manpower in health. To ensure assessment teams obtain complete data sets from the community to plan the interventions."	1	"test"
"9"	"00000000000000000000000000000000000100000"	"A supplier that fulfilled requirements was identified for the cards’ (electronic vouchers) acquisition; however, it was not possible to contract this supplier directly from the beginning. The first bidding process"	1	"test"
"10"	"00000000000000001000000000000000000000000"	"A total of 120 beneficiaries were engaged in the monitoring via mobile and in-person visits. Over 98% of the beneficiaries stated that cash assistance was sufficient, and there was a need for cash at the moment. Thus it could be concluded that cash was an appropriate type of intervention and successfully met the needs of the affected population. Cash distribution was made electronically, and volunteers contacted beneficiaries to get their correct information when there was a mismatch. The volunteers were oriented in cash transfer programming, and common issues emerged in the cash transfer."	1	"test"
"11"	"00000000010000000000000000000000000000000"	"Access to the affected area was a major challenge in the emergency phase since the flood, debris or mud covered all main roads and bridges to the affected areas. One of the alternatives was to access affected areas by boat. However, heavy rainfall and risk of flash flood were the main safety concern on the field."	1	"test"
"12"	"00000000000001000000000000000000000000000"	"According to the report received from volunteers and NDRTs following field activities, there was a need for detergent and disinfectant products instead of some articles in the dignity kits (except for the sanitary towels). This feedback will be taken into account in similar interventions in these areas."	1	"test"
"13"	"00100000000000000000000000000000000000000"	"Activate the operational-strategic structure established, which has legal support to analyse legal documents linked to mobilizations."	1	"test"
"14"	"00000000000000001000000000000000000000000"	"Adapt the FSP recruitment procedures to the emergency context."	1	"test"
"15"	"00000000000000000000000000000000000010000"	"Additional cars are needed to rent in the Branches for easy mobility"	1	"test"
"16"	"00000000000000100000000000000000000000000"	"Additionally, basic and important resources such as IEC materials, funding for emergency volunteers’ mobilization, communication equipment and others should be locally available for times of need."	1	"test"
"17"	"00000000000001000000000000000000000000000"	"Addressing issues such as HIV/AIDS among the migrant population was difficult since special efforts were required to avoid stigmatization and cause people living with HIV to avoid participation. However, work was carried out through different methodologies and a prevention focus."	1	"test"
"18"	"00001000000000000000000000000000000000000"	"After having visited several households in the region of Maradi, the Red Cross volunteers noticed that the population were living with animals including small ruminants (goats, sheep) and poultry in the same compound, which may pose sanitary risks. The Niger Red Cross has therefore organised a competition of environmental cleaning which provide prizes to the neighbourhoods where all the compounds are well cleaned. This activity was appreciated by the council, the administrative authorities and the population. Its helps to live in a good environment."	1	"test"
"19"	"00000000000000100000000000000000000000000"	"All these seven responding units were very busy with the vaccination programme, ambulance service, providing oxygen support for COVID-19 patients and other humanitarian assistance under the COVID-19 operation while implementing cyclone Yaas operation. As a result, human resources of concern units were stressed and BDRCS deployed additional NDRT, NDWRT members to complete the cyclone Yaas operation within the timeframe"	1	"test"
"20"	"00000000000000000000000000000000000100000"	"Another challenge was conducting the procurement process as a joint procurement between IFRC and SLRCS, which resulted in a time-consuming decision-making process that delayed procurement."	1	"test"
"21"	"00000000000000000000001000000100000000010"	"APRO security coordinator visited Sri Lanka and supported SLRCS and IFRC in ensuring improved security for volunteers and staff."	1	"test"
"22"	"00001000000000000000000000000000000000000"	"As a result of the exit survey, it is worthwhile to explore how information dissemination can be further improved to better inform the targeted beneficiaries and how accessibility and arrangements of distribution points can be more responsive to the people’s needs and constraints."	1	"test"
"23"	"00000000000001000000000000000000000000000"	"As part of it’s annual operational plan, ERC should emphasize on conducting WASH activities in specific areas such as Alzaraib area due to the insalubrious direct environment of the beneficiaries (Garbage collection area, etc.)."	1	"test"
"24"	"00000000000000000000000010000000000000000"	"As part of the preparedness measures, the coordination with NMP will be a supportive element in future response."	1	"test"
"25"	"00000100000000000000000000000000000000000"	"As the COVID-19 is expected to remain with us in a longer term, different protective measures will continue to be in place, which might also limit the travels. Therefore, the modalities of remote support might need to be further developed and systemized to be able to ensure continuous and same level of support to the NS as provided before the outbreak"	1	"test"
"26"	"00000000000000001000000000000000000000000"	"As the most targeted areas were remote with poor access to electricity, mobile network, and internet, BDRCS and BPO faced challenges to provide cash assistance among the targeted households. Some of the targeted people did not receive the notification from BPO on time due to poor mobile network. Considering this challenges BDRCS immediately coordinated with BPO and asked to resend the notification with the support of dedicated information management team."	1	"test"
"27"	"00000000000000100000000000000000000000000"	"As there were no prepositioned stocks of HTH chlorine, and as it took some time to go through the procurement process, DPRK RCS had some difficulties in providing safe and clean water to the affected population after the disaster."	1	"test"
"28"	"00000000000000001000000000000000000000000"	"At the initial stage, the National Society was planning to make the individual transfer via Visa card or mobile cash.  These are novel methods for the National Society, which required partnerships with Financial Service Providers  (FSP). However, the process of establishing partnerships with the service providers was taking a longer time than  expected. Consequently, the National Society in the end decided to proceed with the usual method of bank transfer."	1	"test"
"29"	"00000000000000000100000000000000000000000"	"At the same time sufficient budget provision is required to sufficiently cover the transportation cost to deliver in remote locations."	1	"test"
"30"	"00000100000001000000000000000000000000000"	"At the time of first eruption happened, evacuees were forced to seek shelter in Kantor Bupati Lama which is an office building and was not designed for sheltering purposes. Therefore, for a certain period of time, evacuees had to live in close proximity and without privacy among them. In addition, by living in close proximity, they were exposed to Covid-19 risk in the evacuation center."	1	"test"
"31"	"00000000000000100000000000000000000000000"	"At the time the crisis began, the DRC RC local branches in affected localities did not have first aid kits. This prevented them from administering proper first aid services"	1	"test"
"32"	"00000000010000000000000000000000000000000"	"Bad Infrastructures of roads and wharf in the islands."	1	"test"
"33"	"00001000000000000000000000000000000000000"	"BDRCS addressed this challenge through introducing community engagement activities and complaint response mechanism."	1	"test"
"34"	"00000000000000000000000000000000000100000"	"Because of change of operations coordinator in RRCS HQ and because of the decision to purchase goods in Krasnodar instead of Moscow, the tender was announced with a delay, which also caused delay in distribution of goods. Nevertheless, the support was still needed and the families who received support said it was still timely and aligned with their needs"	1	"test"
"35"	"00000000000000000000000000000000000100000"	"Before a major international procurement is conducted, laws of the country should be acquainted with both existing and impending. If the NS had known about the law on banning plastic bag it wouldn’t have imported the SDB bags which took along tie to clear. (Health)"	1	"test"
"36"	"00000000000001000000000000000000000000000"	"Before distribution of family tents, BDRCS need to place more emphasis on installation techniques which will help targeted people to install tents properly."	1	"test"
"37"	"00000100000000000000000000000000000000010"	"Being adaptable in engaging communities in the face of a lockdown proved to be quite beneficial in attaining the number of persons reached. Engaging the communities via social media and WhatsApp was beneficial for the National Society considering the Government imposed restrictions for limited movements."	1	"test"
"38"	"00000100000000000000000000000000000000000"	"Biggest challenge with regards to remote support is that work can be delayed, disrupted due to poor network, communication breakdown which took much of the response time in trying to get a better connection."	1	"test"
"39"	"00000000000000000000000000000100000000000"	"Branches to ensure volunteers are familiar with SAFER ACCESS before deployment NRCS HQ to ensure timely submission of retirements to enable prompt transfer of tranches by IFRC"	1	"test"
"40"	"00000000000000000000000000000000000000100"	"BRCS teams need refreshment training on emergency response modules to better handle some of the needs during elections-related situations. Capacities of targeted Branches have been strengthened and need to be replicated at commune level for better preparedness of communities. The renewable chemical products for WatSan Kit 5 are needed to be procured and stocked since they are not available on the local markets."	1	"test"
"41"	"00000100000000100000000000000000000000000"	"Capacity building of branch staff on CVA related trainings is essential in the current COVID-19 scenario, where technical personnel from the NHQ are usually unable to travel to the field because of related travel restrictions."	1	"test"
"42"	"00000000000000001000000000000000000000000"	"Capacity building on cash transfer programming for all the stakeholders was mentioned as one of the important issues for the future."	1	"test"
"43"	"00000000000000000000000000000000000000100"	"Capacity development for PMI Bolaang Mongondow is vital. While volunteer recruitment is ongoing, further training of health-promotion, PSS or First-aid would benefit the recruited volunteers."	1	"test"
"44"	"00000000000000001000000000000000000000000"	"Cases of beneficiary data mismatch during cash transfer could be reduced by closer cooperation with financial service provider at local level. It was recommended to mid-level branches at the lessons learned workshop that each mid-level branch should sign cooperation agreement with their local Khan banks on data sharing and validating to reduce cases of mismatches in further operations."	1	"test"
